Activity,PricePerCoin,Time,Date,Unix,Order,Amount,Coin,Source
deposited,36633.81,2021-02-03 2:00:00,2021-02-03 00:00:00,1612378800,4.58,0.00013594,btc,Coinbase
Buy,37754.56,2021-02-03 7:25:00,2021-02-03 00:00:00,1612441500,246.33,0.00652451,btc,Coinbase
Buy,37207.89,2/4/21 - 7:59 PM,2021-02-04 00:00:00,1612486800,246.33,0.00662037,btc,Coinbase
Buy,1641.72,2/4/21 7:27 AM,2021-02-04 00:00:00,1612441620,200.00,0.12000236,eth,Coinbase
Move (fee),46432.45,2/8/21 - 8:28 PM,2021-02-08 00:00:00,1612834200,0,-0.00004345,btc,Coinbase
Buy,47067.79,2/9/21 - 11:38 AM,2021-02-09 00:00:00,1612888800,492.66,0.01046703,btc,Coinbase
Buy,46280.55,2/9/21 - 10:45 PM,2021-02-09 00:00:00,1612928700,168.06,0.00366966,btc,Coinbase
Move (fee),1761.08,2/9/2021 7:33 AM,2021-02-09 00:00:00,1612873980,-20,-0.01076614,eth,Coinbase
Move (fee),1767.19,2/9/2021 3:02 PM,2021-02-09 00:00:00,1612900920,-20,-0.01316214,eth,Coinbase
Converted to Btc,,2/9/2021 10:45 PM,2021-02-09 00:00:00,1612928700,-168.08,-0.09607408,eth,Coinbase
Move (fee),47209.94,2/11/21 - 4:00 PM,2021-02-11 00:00:00,1613077200,0,-0.00005535,btc,Coinbase
Move (fee),47350.23,2/12/21 2:39 AM,2021-02-12 00:00:00,1613108400,0,-0.00005702,btc,Coinbase
Move (fee),47814.00,2/13/21 12:23 AM,2021-02-13 00:00:00,1613193780,0,-0.00005677,btc,Coinbase
Move (fee),47267.26,2/13/2021 6:32 PM,2021-02-13 00:00:00,1613259120,0,-0.00005344,btc,Coinbase
Buy,51513.43,2/18/21 7:22 AM,2021-02-18 00:00:00,1613650920,492.66,0.00956372,btc,Coinbase
Buy,2017.78,2/20/2021 6:11 AM,2021-02-20 00:00:00,1613819460,50.00,0.02379349,eth,Coinbase
